Start a Fire; Create a fire to keep warm
Subzero; Experience freezing temperatures by having the right equipment
Good Samaritan; Keep your trash and throw it out in the right place
Your Ancestors; Climb a tree
Outdoorsman; Reach the top of a mountain
Breathtaking; Get to a Lookout Point on a clear day
Yogi; See a bear
Bambi; See a deer
Pangea?; Reach two points that were connected millions of years ago
Around the World; Visit at least three separate countries
The Frozen North; Hike the trail in Canada, Greenland, and Scandinavia
The Blistering South; Hike the trail in Georgia, Morocco, and Spain
Tails of Years Gone By; Find some historical artifact along the trail
